id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
21530820,Hobart home,156487251,Nick,,Hobart,-42.89552280988658,147.31918202296976,Entire home/apt,500,2,1,2018-01-02,0.64,1,1
21530953,Couples retreat. Great views. Private area.,126969939,Karen And Graeme,,Clarence,-42.898732270343366,147.41812253967953,Entire home/apt,93,2,8,2018-02-07,3.75,1,160
21531562,Spacious East Launceston Retreat,156496031,Jess,,Launceston,-41.442683760737005,147.1543381771068,Entire home/apt,135,1,29,2018-02-15,8.45,1,302
21532525,"Position Perfect! Walk to Hobart CBD , Relax Enjoy",146708266,Christine,,Hobart,-42.88774381256946,147.31940737470876,Entire home/apt,204,2,27,2018-02-15,8.80,1,112
21533130,Bakers Beach homestead in Narawntapu National Park,58631830,Laura,,Latrobe,-41.14740808579121,146.6031137835406,Entire home/apt,150,1,8,2018-01-28,3.08,1,156
21538682,Da Shak: serenity  overlooking Spring Bay,89758986,Leon And Christine,,Glamorgan/Spring Bay,-42.53433893096344,147.91138329741523,Entire home/apt,160,2,11,2018-02-12,5.32,1,249
21539045,Rockpool retreat ~ a unique coastal experience,11083766,Lynne,,Break O'Day,-41.51954671838951,148.2777485510732,Entire home/apt,1000,2,0,,,1,35
21540409,White Croft,13392664,Stephanie,,Northern Midlands,-42.031886934673985,147.49560388605144,Entire home/apt,125,1,15,2018-02-02,4.89,1,239
21541415,Burwood House,154001397,Jan,,Kingborough,-43.010299001834646,147.31011309342261,Entire home/apt,175,2,7,2018-01-21,1.93,1,49
21541441,SKELETON BAY BEACH SHACK Binalong Bay Bay of Fires,156596416,Geoff,,Break O'Day,-41.25325059069364,148.31404370747356,Entire home/apt,200,2,0,,,1,63
21542529,Ultimate beachhouse 25 mins from Hobart CBD:,29124786,Shaun And Emily,,Clarence,-42.990405429807225,147.52019844961438,Entire home/apt,200,2,13,2018-01-26,4.24,1,166
21542927,Circa 1900 federation home in sunny Lindisfarne,4648802,Duncan,,Clarence,-42.84404906893335,147.35851132386824,Entire home/apt,150,2,3,2017-12-25,0.86,1,0
21542977,"""Bella House"" - location, views, wifi, OSP",147123565,Mary,,Clarence,-42.87277275720835,147.36928464934084,Entire home/apt,251,1,0,,,3,205
21543468,close to city and sea,51759773,Sam,,Hobart,-42.91852976203943,147.3208964093529,Entire home/apt,130,6,0,,,2,84
21544015,Homely and Refined Place with Secure Parking,156621349,Pete,,Launceston,-41.4205422821521,147.16732224227306,Entire home/apt,103,2,22,2018-02-12,6.73,1,52
21553092,The Currawong Cabin - Derby Forest Cabins,155166454,Gareth,,Dorset,-41.152988657867695,147.8415412519437,Entire home/apt,195,1,3,2018-01-11,1.70,3,255
21553110,Cozy Cascade Eco-retreat,253163,Lissa,,Hobart,-42.89841034305814,147.2875669136945,Entire home/apt,78,2,5,2018-01-21,2.00,1,49
21553326,The Kookaburra Cabin - Derby Forest Cabins,155166454,Gareth,,Dorset,-41.15316531797802,147.8409162798286,Entire home/apt,195,1,1,2018-01-04,0.67,3,249
21553611,A Queit Getaway in Tullah RM 2,66324158,Di,,West Coast,-41.780263452513864,145.53872151364746,Private room,81,1,2,2018-02-03,1.28,3,340
21553864,The Bush Nook,17656534,Stuart,,West Coast,-41.732742730956055,145.6216057343744,Entire home/apt,94,1,29,2018-02-14,9.26,2,172
21554234,Neat and modern house offers 1 queen bedroom,28016863,Ylenia,,Launceston,-41.38096758965375,147.11331579005562,Private room,65,1,2,2018-01-09,0.87,3,87
21554872,Neat and modern house offers 1 queen bedroom,28016863,Ylenia,,Launceston,-41.38267606650103,147.1116627433557,Private room,65,1,2,2018-01-08,1.40,3,87
21566045,Blue Magnolia - A Hidden Gem,23591105,Eve,,Hobart,-42.88495857395227,147.31888659697864,Entire home/apt,395,2,8,2018-01-21,2.82,2,349
21566931,Stunning spacious home with spectacular views,120134370,Jane,,Kingborough,-42.96362288673091,147.25491508375464,Entire home/apt,189,3,4,2018-01-24,1.88,1,256
21567412,"Cozy, bright and spacious single room at Sandy Bay",47539751,Ida,,Hobart,-42.90335633247083,147.3207085446386,Private room,31,1,1,2017-11-19,0.33,1,0
